Air Quality,Water and Sanitation,Air Pollution,Emissions,Heavy Metals,EPI Ranking,iso,State,COVID Total Cases,COVID Total Deaths
44.67,25.75,91.44,33.04,0,168,AFG,Afghanistan,8145,187
65.47,66.56,86.07,68.36,62.89,40,ALB,Albania,964,31
93.98,60.26,46.15,26.94,35.6,88,DZA,Algeria,7542,568
44.66,9.2,57.92,48.86,40.08,170,AGO,Angola,52,3
89.13,53.33,46.94,11.26,52.04,76,ATG,Antigua and Barbuda,25,3
84.57,73.07,19.51,46.65,59.78,74,ARG,Argentina,9283,403
53.55,61.94,66.93,49.82,69.06,63,ARM,Armenia,5606,70
100,98.44,38.85,48.18,68.34,21,AUS,Australia,7081,100
82.21,94.63,86.31,62.79,91.08,8,AUT,Austria,16353,633
47.44,48.53,95.36,73.44,63.09,59,AZE,Azerbaijan,3631,43
84.19,55.4,10.6,18.76,46.81,98,BHS,Bahamas,97,11
67.81,63.06,59.38,44.31,45.62,96,BHR,Bahrain,7888,12
4.12,28.47,40.22,46.95,14.72,179,BGD,Bangladesh,26738,386
100,55.64,40.21,34.57,60.69,93,BRB,Barbados,90,7
69.71,68.66,72.33,64.73,72.8,44,BLR,Belarus,32426,179
88.63,96.09,79.02,63.81,58.6,15,BEL,Belgium,55983,9150
74.73,46.74,39.57,45.03,49.86,81,BLZ,Belize,18,2
50.66,6.37,25.05,34.35,30.23,167,BEN,Benin,130,2
36.89,32.6,48.28,43.76,30.28,131,BTN,Bhutan,21,
70.92,44.57,38.72,33.49,43.51,92,BOL,Bolivia,4919,199
60.37,71.54,30.79,26.8,63.39,158,BIH,Bosnia and Herzegovina,2338,136
43.33,21.8,42.46,47.24,49.65,113,BWA,Botswana,29,1
78.78,45.91,37.55,33.24,49.19,69,BRA,Brazil,293357,18894
98.76,94.9,2.51,27.42,79.92,53,BRN,Brunei Darussalam,141,1
68.49,71.26,52.91,56.04,74.15,30,BGR,Bulgaria,2331,120
61.85,8.45,28.47,26.24,29.78,154,BFA,Burkina Faso,809,52
36.92,0.86,38.18,16.18,28.7,180,BDI,Burundi,42,1
41.91,35.26,37.52,47.63,39.84,139,KHM,Cambodia,122,
50.54,13.45,33.71,58.53,45.84,89,CMR,Cameroon,3733,146
99.28,94.69,44.25,39.88,91.49,150,CAN,Canada,80142,6031
70.81,40.66,72.99,69.56,53.47,161,CPV,Cabo Verde,349,3
42.93,0,40.31,17.55,25.01,25,CAF,Central African Republic,418,
60.82,0.32,78.57,49.62,34.67,171,TCD,Chad,565,57
69.22,79.61,3.37,37.37,97.15,137,CHL,Chile,53617,544
14.39,68.24,57.08,68.62,38.02,84,CHN,China,82967,4634
77.01,59.96,56.76,50.1,60.12,120,COL,Colombia,17687,630
64.38,10,30.02,49.44,44.3,42,COM,Comoros,34,1
84.43,62.78,58.15,59.29,54.45,146,CRI,Costa Rica,897,10
53.88,9.53,51.38,38.57,33.42,30,CIV,Cote d'Ivoire,2231,29
64.07,70.01,43.23,54.41,87.84,41,HRV,Croatia,2234,96
86.47,57.5,75.32,49.15,46.03,55,CUB,Cuba,1900,79
87.5,92.35,49.65,66.26,67.57,24,CYP,Cyprus,922,17
65.77,69.98,57.07,54.65,98.82,33,CZE,Czech Republic,8721,304
22.57,10.01,40.16,34.26,40.47,178,COD,Dem. Rep. Congo,420,15
99.16,97.78,71,67.56,88.3,3,DNK,Denmark,11117,554
69.73,19.3,11.01,46.4,35.47,163,DJI,Djibouti,1828,9
80.39,50.64,31.59,51.78,40.18,73,DMA,Dominica,16,
77.96,42.4,65.46,61.27,29.34,46,DOM,Dominican Republic,13477,446
82.97,52.2,25.92,46.8,59.87,87,ECU,Ecuador,34854,2888
88.88,32.78,47.55,55.68,20.03,66,EGY,Egypt,14229,680
76.15,42.34,28.11,63.47,35.85,106,SLV,El Salvador,1571,32
57.18,31.89,99.97,70.08,58.55,71,GNQ,Equatorial Guinea,890,7
64.88,7.09,43.47,29.57,36.46,165,ERI,Eritrea,39,
78.87,58.45,54.29,33.62,88.82,48,EST,Estonia,1794,64
43.66,9.35,37.81,64.18,32.22,141,ETH,Ethiopia,389,5
70.36,39.93,17.73,56.91,79.74,107,FJI,Fiji,18,
99,100,49.1,62.33,100,10,FIN,Finland,6443,304
95.97,97.22,96.82,70.46,83.29,2,FRA,France,181575,28132
51.5,22.23,53.75,30.71,57.99,140,GAB,Gabon,1567,12
63.14,16.8,41.36,36.67,38.15,156,GMB,Gambia,24,1
54.93,59.93,48.55,48.41,68.28,94,GEO,Georgia,721,12
84.09,96.74,93.3,55.47,100,13,DEU,Germany,178531,8270
52.37,26.52,40.5,57.59,48.46,124,GHA,Ghana,6269,31
89.23,100,46.41,42.17,60.77,22,GRC,Greece,2850,166
82.88,48.26,30.55,21.61,29.37,118,GRD,Grenada,22,
68.3,29.5,30.23,57.46,34.42,110,GTM,Guatemala,2265,45
60.77,12.79,31.6,37.24,33.56,134,GIN,Guinea,2863,18
60.5,10.01,32.8,53.23,25.37,143,GNB,Guinea-Bissau,1089,6
75.49,38.67,32.14,34.82,17.58,128,GUY,Guyana,125,10
62.21,15.45,20.76,42.53,3.46,174,HTI,Haiti,596,22
68.9,34.06,17.68,46.02,19.01,114,HND,Honduras,3100,151
52.3,66.26,75.22,61.68,75.88,43,HUN,Hungary,3641,473
98.55,100,49.11,61.96,86.99,11,ISL,Iceland,1803,10
5.75,15.8,37.49,44.77,16.77,177,IND,India,112442,3438
52.04,31.41,47.62,53.43,43.84,133,IDN,Indonesia,19189,1242
85.12,58.74,20.07,35.93,21.21,80,IRN,Iran,126949,7183
72.91,41.05,36.33,19.73,35.11,152,IRQ,Iraq,3724,134
95.78,100,87.23,54.16,73.18,9,IRL,Ireland,24315,1571
95.67,92.03,75.82,57.09,86.92,19,ISR,Israel,16667,279
80.56,100,88.55,65.14,70.23,16,ITA,Italy,227364,32330
78.74,51.04,21.03,52.26,39.72,78,JAM,Jamaica,529,9
90.78,96.6,72.34,45.08,100,20,JPN,Japan,16385,771
99.61,68.82,78.6,46.84,25.98,62,JOR,Jordan,672,9
68.41,62.89,47.07,47.82,67.5,101,KAZ,Kazakhstan,7234,35
62.93,0.63,29.04,51.37,37.36,130,KEN,Kenya,1029,50
61.85,20.89,54.35,43.71,40.21,95,KIR,Kiribati,,
75.17,65.79,22.66,31.78,39,61,KWT,Kuwait,17568,124
59.49,44.74,21.41,32.5,53.74,99,KGZ,Kyrgyzstan,1313,14
23.37,27.59,52.56,77.39,33.69,153,LAO,Laos,19,
77.66,60.62,84.31,42.89,82.78,37,LVA,Latvia,1016,21
95.18,60.31,55.29,43.86,65.9,67,LBN,Lebanon,961,26
42.18,2.86,58.26,44.79,30.06,173,LSO,Lesotho,1,
62.49,4.79,15.49,73.11,33.59,160,LBR,Liberia,238,23
96.67,54.93,34.38,11.87,49.67,123,LBY,Libya,69,3
77.97,58.51,59.73,62.46,86.63,29,LTU,Lithuania,1577,60
